Namespace,Project,Commit_Count,Branch_Count,Full_URL,github_org,github_repo
test-migration,test-project,2,1,https://code.siemens.com/test-migration/test-project,OSES-Migration,DryRun-test-project3
test-migration,test-project2,1,1,https://code.siemens.com/test-migration/test-project2,OSES-Migration,DryRun-test-project4
